"","Company","City","Zip.code","Vendor","Independent","NumberOfStores","Type","Income","County","PopulationRange","Walkability.Score","Distance","AverageAgeByCounty"
"1","Appleberry Farm",2,53528,1,1,2,2,77098,1,1,38,10.7,1
"2","Best Plaza Liquor",9,53589,1,1,2,4,65586,1,2,75,29.9,1
"3","Brennan's Cellars",4,53719,1,1,2,3,65796.1,1,3,59,14.7,1
"4","Cork N Bottle",4,53703,1,1,2,4,25078,1,3,88,25.8,1
"5","Growlers to Go-Go",4,53704,1,1,2,4,53358.48,1,5,47,29.3,1
"6","Miller & Sons (Mount Horeb)",7,53572,1,1,2,3,67361,1,1,61,3.8,1
"7","Miller & Sons (Verona)",11,53593,1,1,2,3,90738,1,2,72,11.4,1
"8","Munchkey Apples",7,53572,1,1,2,2,67361,1,1,61,3.8,1
"9","Star Liquor",4,53703,1,1,2,4,25078,1,3,88,25.8,1
"10","Steve's Junction Rd",4,53717,1,1,2,4,75889.37,1,2,36,14.3,1
"11","Steve's Mckee",3,53719,1,1,2,4,65796.1,1,3,59,14.7,1
"12","Taliesin Preservation",8,53588,1,1,2,5,58086,4,1,63,30.2,2
"13","The Old Fashioned",4,53703,1,1,2,5,25078,1,3,88,25.8,1
"14","Trixie's Liquor",4,53704,1,1,2,4,53358.48,1,5,47,29.3,1
"15","Trollway Liquor",7,53572,1,1,2,4,67361,1,1,61,3.8,1
"16","Verona Wine Cellar",11,53593,1,1,2,6,90738,1,2,72,11.4,1
"17","Willy Street Co-op (East)",4,53703,1,1,2,3,25078,1,3,88,25.8,1
"18","Willy Street Co-op (North)",4,53704,1,1,2,3,53358.48,1,5,47,29.3,1
"19","Willy Street Co-op (West)",6,53562,1,1,2,3,71219,1,3,42,16,1
"20","World of Beer Middleton",6,53562,1,0,1,1,71219,1,3,42,16,1
"21","Creative Grocery Concepts",4,53704,1,1,2,3,53358.48,1,5,47,29.3,1
"22","Cress Spring Bakery",1,53517,1,1,2,5,69034,1,1,0,5.3,1
"23","Enos Farms",8,53588,1,1,2,2,58086,4,1,63,30.2,2
"24","Mershonian Cidery",9,53589,1,1,2,6,65586,1,2,75,29.9,1
"25","Regent Market Coop",4,53726,1,1,2,3,44184,1,1,80,21,1
"26","Square Wine Co",4,53703,1,1,2,6,25078,1,3,88,25.8,1
"27","Steenbock's on Orchard",4,53715,1,1,2,5,16488.12,1,1,82,22.3,1
"28","Sunn Cafe LLC",7,53572,1,1,2,5,67361,1,1,61,3.8,1
"29","Winestyles Tasting Room",10,53590,1,1,4,6,70122,1,4,66,49,1
"30","Hyvee Fitchburg",3,53719,1,0,5,3,65796.1,1,3,59,14.7,1
"31","Woodman's Sun Prairie",10,53590,0,1,4,3,70122,1,4,66,49,1
"32","Woodman's West",4,53719,0,1,4,3,65796.1,1,3,59,14.7,1
"33","Total Wine",4,53719,0,0,3,4,65796.1,1,3,59,14.7,1
"34","McFarland Liquor's",5,53558,0,1,2,4,74075,1,2,60,28.4,1
"35","Cannery Wine and Spirits",10,53590,0,1,2,6,70122,1,4,66,49,1
"36","Steve's University",4,53705,0,1,2,6,61308.55,1,3,48,17.3,1
"37","Riley's Wines of the World",4,53703,0,1,2,6,25078,1,3,88,25.8,1
"38","Harley's Wine & Spirits",4,53716,0,1,2,4,60222.44,1,2,61,26.6,1
"39","Rocky's Liquor Store",4,53714,0,1,2,4,55126.43,1,2,38,29.8,1
"40","Whole Foods Market",4,53705,0,1,5,3,61308.55,1,3,48,17.3,1
"41","Metcalfe's Hilldale",4,53705,0,1,2,3,61308.55,1,3,48,17.3,1
"42","Metcalfe's West",4,53719,0,1,2,3,65796.1,1,3,59,14.7,1
"43","Mahen's Liquor",4,53704,0,1,2,4,53358.48,1,5,47,29.3,1
"44","Miller's Liquor",4,53726,0,1,2,4,44184,1,1,80,21,1
"45","North Side Liquor",4,53704,0,1,2,4,53358.48,1,5,47,29.3,1
"46","Badger Liquor",4,53703,0,1,2,4,25078,1,3,88,25.8,1
"47","The Vineyard Liquor",4,53715,0,1,2,4,16488.12,1,1,82,22.3,1
"48","Metro Market",4,53718,0,0,3,3,72467.12,1,2,49,33.3,1
"49","Trader Joe's",4,53711,0,0,5,3,66828.66,1,5,54,18.4,1
"50","Festival Foods",4,53703,0,0,1,3,25078,1,3,88,25.8,1
"51","Pick 'n Save East",4,53704,0,0,3,3,53358.48,1,5,47,29.3,1
"52","Fresh Madison Market",4,53715,0,1,2,3,16488.12,1,1,82,22.3,1
"53","Pick 'n Save Downtown",4,53715,0,0,3,3,16488.12,1,1,82,22.3,1
"54","Woodman's East",4,53714,0,1,4,3,55126.43,1,2,38,29.8,1
"55","Table Wine",4,53704,0,1,2,6,53358.48,1,5,47,29.3,1
"56","Sadhana Wine Shop",4,53703,0,1,2,6,25078,1,3,88,25.8,1
"57","Bottle Stop Liquors",4,53704,0,1,2,4,53358.48,1,5,47,29.3,1
"58","Barriques Middleton",6,53562,0,1,2,5,71219,1,3,42,16,1
"59","Barriques Atwood",4,53704,0,1,2,5,53358.48,1,5,47,29.3,1
"60","Barriques Park Street",4,53715,0,1,2,5,16488.12,1,1,82,22.3,1
"61","Barriques Monroe",4,53711,0,1,2,5,66828.66,1,5,54,18.4,1
"62","Barriques University",4,53705,0,1,2,5,61308.55,1,3,48,17.3,1
"63","Barriques Fitchburg",3,53719,0,1,2,5,65796.1,1,3,59,14.7,1
"64","Barriques Old Sauk",6,53562,0,1,2,5,71219,1,3,42,16,1
